pi         err
3.16088           0
3.16016 0.000714443
3.15175  0.00842893
3.15154  0.00596365
3.15124  0.00462953
3.14819  0.00485608
3.15254  0.00598312
3.14945  0.00603139
3.14884  0.00535499
3.1461  0.00551662
3.14697  0.00506548
3.14805  0.00474958
3.14718  0.00445555
3.14674  0.00414801
3.14719  0.00388703
3.14774  0.00367736
3.14871  0.00358884
3.14804  0.00345032
3.1486  0.00331184
3.14804  0.00319127
3.14793  0.00303753
3.1485  0.00295165
3.14891  0.00284964
3.14865  0.00274065
3.14858  0.00262959
3.14854  0.00252668
3.1484  0.00243527
3.14811  0.00236519
3.14775  0.00231014
3.14785  0.00223423
3.14794  0.00216246
3.14787  0.00209475
3.14868   0.0021833
3.14872  0.00211862
3.14773  0.00228463
3.14737  0.00224835
3.14744  0.00218773
3.14752  0.00213099
3.14729   0.0020883
3.1473  0.00203543
3.14763  0.00201281
3.14743   0.0019749
3.14729  0.00193344
3.14687  0.00193488
3.14722  0.00192388
3.14751   0.0019032
3.14739  0.00186573
3.14688  0.00189842
3.14635   0.0019319
3.1459  0.00194673
3.14543  0.00196506
3.1454  0.00192705
3.14547  0.00189153
3.14593  0.00191159
3.14594  0.00187654
3.1455  0.00189402
3.14535   0.0018666
3.14523  0.00183776
3.14519  0.00180694
3.14517  0.00177665
3.14472  0.00180412
3.14487  0.00178126
3.14505  0.00176141
3.1447  0.00176747
3.14466  0.00174059
3.14496  0.00174039
3.14521  0.00173157
3.14512  0.00170813
3.1451  0.00168332
3.14512  0.00165927
3.14509  0.00163615
3.14492  0.00162188
3.14496      0.0016
3.14471  0.00159764
3.14451  0.00158933
3.14472  0.00158273
3.1447  0.00156216
3.1448  0.00154524
3.145  0.00153808
3.14487  0.00152395
3.1451  0.00152275
3.14503  0.00150579
3.14511  0.00148986
3.14528  0.00148115
3.14526  0.00146377
3.14523  0.00144691
3.14523  0.00143019
3.14513  0.00141782
3.14516  0.00140227
3.14535  0.00139883
3.14537  0.00138346
3.1455  0.00137501
3.1456   0.0013641
3.14538  0.00136744
3.14501  0.00140302
3.14508  0.00139021
3.14483    0.001399
3.145  0.00139502
3.14501  0.00138089
3.14527  0.00139162
