mean                 err
0.99985                   0
0.999969          0.00011828
1.00006         0.000110342
1.00008         8.16335e-05
1.00005         6.98263e-05
1.00003         5.93762e-05
1.00008         6.81051e-05
1.00006         6.06991e-05
1.00004         6.01108e-05
1.00002         5.55852e-05
0.999998         5.61145e-05
1.00001         5.19935e-05
1.00001         4.78275e-05
1.00001          4.4293e-05
1         4.14391e-05
1.00001         3.97481e-05
0.999999         3.91489e-05
1         3.69101e-05
1.00002         3.82627e-05
1         3.80711e-05
0.999999         3.65784e-05
0.999997         3.49098e-05
0.999989         3.42676e-05
0.999984         3.32385e-05
0.999982         3.19194e-05
0.999973          3.1937e-05
0.999978         3.10144e-05
0.999972         3.03637e-05
0.999972          2.9303e-05
0.999963         2.97375e-05
0.999968         2.91916e-05
0.999971         2.84223e-05
0.999973         2.76243e-05
0.999979         2.75266e-05
0.99998         2.67719e-05
0.999985         2.63877e-05
0.999981         2.59753e-05
0.999981         2.52898e-05
0.999979         2.47064e-05
0.99998         2.40893e-05
0.999978          2.3556e-05
0.999975         2.32697e-05
0.999974         2.27268e-05
0.999982         2.33624e-05
0.999982         2.28423e-05
0.999985         2.25592e-05
0.999987         2.21238e-05
0.999986         2.16721e-05
0.999994         2.26463e-05
0.999998         2.26174e-05
0.999994         2.26157e-05
0.999993         2.22064e-05
0.999992         2.18018e-05
0.999991         2.14156e-05
0.999997         2.18601e-05
0.999996         2.14978e-05
0.999994         2.11466e-05
0.999999          2.1321e-05
0.999997         2.10971e-05
0.999992         2.12495e-05
0.999997         2.14194e-05
0.999996         2.10815e-05
0.999995         2.07561e-05
0.999995         2.04375e-05
0.999995         2.01211e-05
0.999995         1.98172e-05
0.999999         1.99317e-05
1         1.97502e-05
1         1.94898e-05
1         1.92662e-05
1          1.8996e-05
1         1.87318e-05
1         1.85025e-05
1         1.83629e-05
1         1.81205e-05
1         1.78851e-05
1         1.77026e-05
1         1.75011e-05
1         1.72824e-05
1.00001         1.73123e-05
1.00001         1.81319e-05
1.00001          1.7918e-05
1.00001         1.78055e-05
1.00001         1.76147e-05
1.00001         1.74384e-05
1.00001         1.72394e-05
1.00001         1.74488e-05
1.00001           1.742e-05
1.00001         1.72255e-05
1.00001         1.70683e-05
1.00001         1.72813e-05
1.00001         1.71237e-05
1.00001         1.70594e-05
1         1.70591e-05
1         1.70318e-05
1         1.68567e-05
1         1.66822e-05
1         1.65265e-05
1         1.63601e-05
1         1.62534e-05
