dist                 err
1                   0
1.41546          0.00413592
1.7205          0.00608997
1.9994          0.00791962
2.24218          0.00866872
2.45504           0.0102681
2.64377           0.0107967
2.82821           0.0122351
3.00076           0.0124495
3.15039           0.0120381
3.32121           0.0135898
3.48737           0.0151482
3.61046           0.0160326
3.72657           0.0150381
3.86525           0.0153863
3.98467           0.0157853
4.12322           0.0168185
4.20611           0.0200974
4.36571           0.0181505
4.49958            0.020359
4.60163           0.0204528
4.67981           0.0214912
4.7754           0.0210795
4.88997           0.0218825
4.9899           0.0221312
5.07734            0.021411
5.16796           0.0243087
5.30151           0.0208138
5.34872           0.0217096
5.52065           0.0230754
5.57746           0.0252763
5.6911           0.0248665
5.72266           0.0244573
5.82002           0.0232234
5.93082           0.0241846
5.96561           0.0229233
6.05381           0.0249163
6.16629           0.0252532
6.21786           0.0239374
6.30255           0.0267928
6.40624           0.0299075
6.48067           0.0270976
6.53189           0.0291556
6.60851           0.0268576
6.70791           0.0274197
6.77607           0.0342387
6.81381           0.0336875
6.90315           0.0315071
6.97302            0.030208
7.08448            0.030476
7.13991            0.031196
7.22668           0.0345617
7.259            0.027983
7.36596           0.0317641
7.36584           0.0332935
7.47677           0.0315954
7.55369           0.0324093
7.58536            0.030915
7.69311           0.0326425
7.74516            0.032967
7.86271           0.0359174
7.86721           0.0333536
7.89502           0.0376524
7.95973           0.0348342
8.07158           0.0305683
8.16683           0.0377248
8.13476           0.0366165
8.26602           0.0380848
8.34244           0.0349836
8.36282           0.0383343
8.39619           0.0336079
8.51277           0.0399074
8.54036            0.040565
8.56644           0.0356069
8.63412           0.0330756
8.70533           0.0342137
8.75437           0.0389283
8.86734           0.0396124
8.8829           0.0393054
8.95618           0.0392168
9.00895           0.0395272
9.13579             0.03834
9.19662           0.0394394
9.08965             0.03803
9.14717            0.039226
9.18989           0.0423352
9.30571           0.0447102
9.32738           0.0393289
9.41532           0.0391593
9.49128           0.0424068
9.53929           0.0382866
9.55133           0.0404337
9.64858           0.0445204
9.64452           0.0336576
9.74593             0.04408
9.81942           0.0444329
9.8664           0.0490075
9.85689           0.0426003
9.98747           0.0439865
9.95587           0.0432096
