dist                 err
1                   0
1.41018          0.00374993
1.73744          0.00560071
1.99834          0.00683045
2.23209          0.00763718
2.45063          0.00853039
2.64651          0.00964581
2.83143           0.0101628
3.00023           0.0113751
3.17587           0.0123424
3.33095           0.0133915
3.47766           0.0124983
3.59915            0.013239
3.75752           0.0137242
3.88403           0.0135273
3.98865           0.0138886
4.12027           0.0141302
4.25297           0.0148449
4.33829           0.0162228
4.46058           0.0157789
4.60051           0.0155288
4.71846           0.0213049
4.80233           0.0172302
4.91752           0.0207908
5.00203           0.0191042
5.09032           0.0205113
5.1557           0.0209712
5.31039           0.0212172
5.36882           0.0234686
5.47184           0.0213077
5.55104           0.0201305
5.66318           0.0217761
5.78724           0.0222922
5.84181           0.0276773
5.90007            0.023296
6.03359            0.025617
6.06979           0.0248636
6.15357           0.0246957
6.26914           0.0256512
6.33563           0.0261009
6.39155           0.0261403
6.49633           0.0267667
6.55529           0.0259981
6.67194           0.0295211
6.65328           0.0227029
6.77011           0.0296504
6.86751           0.0262751
6.88266           0.0308513
6.98743           0.0284034
7.08686           0.0278119
7.15402           0.0285912
7.15194           0.0301108
7.34388           0.0278145
7.29057           0.0341493
7.44089           0.0288692
7.50562           0.0279632
7.57567           0.0324228
7.64263           0.0307722
7.62559           0.0255113
7.77437           0.0304159
7.84042           0.0322872
7.89266           0.0297925
7.88438           0.0324672
7.98615           0.0324344
8.07589           0.0288078
8.09834           0.0307643
8.2027           0.0309861
8.30773           0.0325781
8.31329           0.0333382
8.41636           0.0324319
8.41844           0.0323907
8.44417           0.0296331
8.59807           0.0322829
8.62572           0.0391229
8.65713           0.0376282
8.71441           0.0383117
8.73534           0.0372706
8.79574           0.0339542
8.8725           0.0365302
8.91678            0.038502
8.93443           0.0399845
9.07204            0.036673
9.11986           0.0360275
9.17667           0.0382765
9.19472           0.0327047
9.22958           0.0401441
9.30987           0.0414611
9.3869           0.0384107
9.45173           0.0376961
9.44078            0.039337
9.52562           0.0404303
9.58245           0.0379561
9.64327            0.038185
9.74989           0.0362406
9.78724           0.0366617
9.73836           0.0407284
9.85552            0.041873
9.91573            0.038111
9.90882           0.0442524
10.0276           0.0409841
