mean                 err
0.998566                   0
0.998979         0.000413061
1.00015          0.00119349
1.00018         0.000844418
1.0004         0.000691423
1.00001         0.000686262
0.999954         0.000582874
0.999795         0.000529176
0.999811         0.000466988
0.999829         0.000418073
0.999883         0.000381877
0.999643          0.00042322
0.999666         0.000390019
0.999499         0.000397968
0.999567         0.000376616
0.999757          0.00040041
0.999765         0.000376214
0.999839         0.000362211
0.999833         0.000342662
0.999905         0.000332945
1.00004         0.000344189
0.999967         0.000336104
0.999956         0.000321373
0.999825         0.000334256
0.999748         0.000329601
0.999704         0.000319783
0.999736         0.000309334
0.999778          0.00030104
0.999835         0.000296029
0.999849         0.000286328
0.999894         0.000280674
0.999932         0.000274309
0.999996         0.000273515
0.999934         0.000272475
0.999877         0.000270692
0.999897         0.000263824
0.999912         0.000257075
0.999957           0.0002541
0.999933         0.000248637
0.999933         0.000242342
0.999901          0.00023845
0.999909         0.000232856
0.999864         0.000231817
0.999911         0.000231194
0.999849          0.00023419
0.999849         0.000229042
0.999824         0.000225541
0.999858         0.000223423
0.999858         0.000218816
0.99988         0.000215544
0.999905         0.000212713
0.999884         0.000209589
0.999905         0.000206625
0.999898         0.000202871
0.999888         0.000199416
0.999883         0.000195879
0.999872         0.000192738
0.999886         0.000189886
0.999933         0.000192478
0.999918         0.000189802
0.999958         0.000190794
1.00001         0.000194083
1.00004         0.000193474
1.00006         0.000191614
1.00009         0.000191724
1.00008         0.000189607
1.00003         0.000192682
1.00005         0.000190702
1.00003         0.000188359
1.00005          0.00018634
1.00006         0.000184115
1.00008         0.000182269
1.00011         0.000182595
1.00008         0.000182603
1.00009         0.000180259
1.00011         0.000179151
1.00012         0.000177087
1.00011         0.000175277
1.00009         0.000174197
1.00011         0.000173443
1.00011          0.00017131
1.00012         0.000169401
1.00015         0.000169783
1.00015         0.000167813
1.00018         0.000167543
1.00016         0.000166196
1.00014         0.000165336
1.00016         0.000164463
1.00015         0.000163034
1.00013         0.000162344
1.00011         0.000162247
1.00009         0.000160952
1.0001         0.000159282
1.00012         0.000158427
1.00013         0.000157602
1.00014         0.000156399
1.00017         0.000157662
1.00017         0.000156133
1.00016         0.000154854
1.00015         0.000153517
