mean_c               err_c              mean_p               err_p
13.1641                   0             5.17246                   0
13.577            0.412936             5.44609            0.273631
14.699             1.14705             5.28387            0.226433
14.8239            0.820638             5.36885            0.181265
15.4188            0.870674             5.27262            0.170215
15.0989            0.779565             5.37172            0.170693
15.1985            0.666338             5.40438            0.147913
15.109            0.583969             5.44266            0.133692
15.2505            0.534088             5.33621            0.158851
15.2563            0.477738              5.2415            0.170755
15.1422            0.446929             5.39813            0.219976
15.1081            0.409411                5.39            0.200974
15.133            0.377423             5.52626            0.229659
14.9836            0.380033              5.4828            0.217019
14.9395            0.356532             5.45916            0.203412
14.9413             0.33351             5.46162            0.190291
14.9776            0.315384             5.42931            0.181644
15.1284            0.333379             5.40497            0.172978
15.0583            0.323049             5.42514            0.164859
15.0334             0.30748             5.44341            0.157464
14.8878            0.326723             5.45012            0.149928
14.7934            0.325487             5.42383            0.145348
14.8684            0.319932             5.42561            0.138896
14.7725            0.320988             5.36736            0.145179
14.8862            0.328216             5.33861            0.142188
14.8372            0.319132             5.34164            0.136643
14.8528             0.30748             5.33165            0.131864
14.8943            0.299186             5.32606             0.12719
15.0268            0.317673             5.27394            0.133337
15.0306            0.306924             5.26944            0.128894
15.0402            0.297012             5.32364            0.135939
15.0137            0.288796             5.32183            0.131635
15.1304            0.303275             5.29956            0.129512
15.0715            0.300055             5.32306            0.127822
15.1229            0.295846             5.31479            0.124392
15.0922            0.289148             5.29468            0.122548
15.0665            0.282388             5.39509            0.155852
14.9941            0.284254              5.3889            0.151822
15.0812            0.290254             5.33803            0.156386
15.081            0.282905             5.34188            0.152475
14.9474            0.306569             5.39889            0.159262
14.8784             0.30702             5.44154            0.161172
14.9362            0.305303             5.45209            0.157732
14.974            0.300672             5.42348            0.156738
14.9423            0.295621             5.42784            0.153278
14.9756            0.291035             5.42973             0.14992
14.947            0.286203             5.40869            0.148196
14.9829            0.282473             5.39174            0.146064
14.9975            0.277029             5.41372            0.144732
14.999            0.271436             5.41472            0.141811
15.0596            0.272887             5.41498            0.139003
15.0909            0.269408              5.4244            0.136629
15.0639            0.265646              5.4331            0.134308
15.0498            0.261061             5.42599            0.131989
15.0287            0.257141             5.44919            0.131627
15.0099            0.253207             5.47317             0.13146
14.9578            0.254128             5.49016            0.130247
15.0039            0.253928              5.4853            0.128074
15.0623            0.256329             5.47538            0.126275
15.1038            0.255411               5.473            0.124175
15.0854            0.251859             5.47222            0.122125
15.1025            0.248352              5.4765            0.120215
15.1152            0.244707             5.48036            0.118355
15.0997             0.24135             5.49089            0.116966
15.0922            0.237726             5.48685            0.115223
15.0561            0.236855             5.47961            0.113694
15.031            0.234647             5.49382            0.112882
15.053            0.232218             5.49034            0.111264
15.0467            0.228913              5.4919             0.10965
15.0752            0.227408             5.48603            0.108232
15.1005            0.225603             5.48991            0.106767
15.1096            0.222634             5.48332             0.10548
15.0958            0.219994             5.48766            0.104116
15.1613            0.226659             5.46575            0.105011
15.1557            0.223688             5.47342            0.103886
15.1417            0.221168             5.47097            0.102539
15.1515            0.218496             5.47116            0.101199
15.1773            0.217226             5.47869            0.100177
15.1756            0.214466             5.48168           0.0989454
15.1897             0.21224             5.47549           0.0978967
15.1992            0.209816             5.47299           0.0967127
15.2185            0.208136             5.47784           0.0956488
15.2012            0.206338             5.50496           0.0983058
15.2029            0.203873             5.51597             0.09775
15.2385            0.204591             5.52185           0.0967718
15.1875            0.208539             5.53932           0.0972223
15.1952            0.206274              5.5405           0.0961056
15.1869            0.204086             5.54282           0.0950356
15.1604            0.203512             5.53895           0.0940417
15.1774             0.20195               5.548           0.0934306
15.1292             0.20545             5.55045           0.0924308
15.1432            0.203687              5.5427           0.0917492
15.1835            0.205466             5.51497           0.0948978
15.1784            0.203332             5.52227           0.0941663
15.1955            0.201908             5.51726           0.0933043
15.1744            0.200904             5.52646           0.0927841
15.1868             0.19921             5.51918           0.0921104
15.1764            0.197442             5.50697           0.0919793
15.2126            0.198761             5.49658           0.0916366
15.2119            0.196764             5.49269           0.0907993
