mean_c               err_c              mean_p               err_p
13.898                   0              6.0996                   0
13.5073            0.390704             5.91271            0.186892
14.7207             1.23419             5.43352            0.491183
14.6952            0.873076             5.46255             0.34853
14.1628            0.860689             5.47376            0.270203
14.6621            0.862058             5.31319            0.272866
15.8667             1.40778             5.08291            0.325896
15.6768             1.23387             5.28551            0.347424
15.7906             1.09411             5.41328            0.331971
15.8448            0.980095             5.36481            0.300854
15.7526             0.89131             5.36288             0.27214
15.6418            0.821164             5.33881            0.249592
15.6708            0.755917             5.31039            0.231343
15.5738            0.706524              5.3078            0.214198
15.68            0.666254             5.35104            0.204042
15.535            0.639884             5.43731            0.209453
15.4011            0.615801             5.50993            0.209722
15.4162            0.580781             5.56102            0.204221
15.4087            0.549416             5.52123             0.19723
15.3504            0.524475             5.62402            0.213487
15.4039            0.501742             5.60688            0.203789
15.4479            0.480411             5.59494            0.194671
15.5274            0.465874             5.62417            0.188297
15.5867            0.449968             5.56425            0.189976
15.4379            0.456523             5.59836            0.185384
15.4364            0.438615             5.61424            0.178817
15.484            0.424729             5.64451             0.17471
15.4978            0.409512             5.63036            0.168949
15.4659            0.396427             5.64837             0.16401
15.4664            0.382986             5.65558            0.158613
15.2908            0.409948             5.65671            0.153416
15.3082            0.397309             5.66026            0.148586
15.3118            0.385099             5.67048            0.144376
15.244            0.379703               5.634            0.144737
15.1638            0.377325             5.67022            0.145133
15.1853            0.367325             5.63285             0.14591
15.1613            0.358065             5.62193            0.142332
15.2186            0.353196             5.59329            0.141465
15.1951            0.344821             5.59056            0.137817
15.1124            0.346136             5.58978             0.13433
15.1375            0.338521             5.57289            0.132097
15.1486            0.330552             5.58143            0.129196
15.1404            0.322877             5.54695            0.130782
15.0883            0.319726             5.55881            0.128324
15.1057            0.313021             5.56022            0.125448
15.104            0.306145             5.52892            0.126622
15.1126            0.299682             5.51869             0.12432
15.095            0.293901             5.55013            0.125697
15.0901            0.287881             5.54916            0.123109
15.1371            0.285948             5.53852             0.12109
15.1091            0.281675             5.53525            0.118737
15.0436            0.283862             5.54872            0.117208
14.9959            0.282527             5.52953            0.116565
14.9657            0.278884             5.53081            0.114393
14.9708            0.273815             5.51433            0.113497
14.9497            0.269712             5.52404            0.111873
15.0001            0.269689             5.50649            0.111285
15.0215            0.265866             5.49677            0.109781
15.0389            0.261898             5.50088            0.107982
15.0945            0.263426             5.48031            0.108143
15.0974            0.259088             5.48055            0.106355
15.0644            0.257008              5.4807            0.104626
14.9986            0.261303             5.49134              0.1035
14.9544            0.260958              5.5074            0.103128
14.9188            0.259368             5.51163            0.101617
14.9453            0.256774             5.51674            0.100196
14.9425            0.252927             5.50287           0.0996588
14.988            0.253297             5.48808           0.0992905
14.9943             0.24968             5.50879            0.100008
15.0511            0.252544             5.52466           0.0998395
15.1105            0.255952             5.50767           0.0998801
15.1584            0.256874             5.50426           0.0985419
15.1983            0.256453             5.50627           0.0972034
15.2136            0.253429             5.51128           0.0960118
15.2051            0.250172             5.51712           0.0949028
15.1575            0.251415             5.52765           0.0942359
15.1338            0.249251             5.52046           0.0932817
15.0996            0.248406             5.52704           0.0923127
15.1233            0.246382             5.51533           0.0918864
15.1189            0.243323              5.5217           0.0909542
15.1153            0.240327             5.51602           0.0900038
15.1126            0.237394             5.52384           0.0892426
15.111            0.234521             5.50973           0.0892825
15.1066            0.231755             5.51463            0.088349
15.1485             0.23282             5.51109           0.0873752
15.1287            0.230944             5.50261            0.086768
15.1759            0.233091              5.4902           0.0866587
15.1326            0.234451             5.48861            0.085683
15.1731            0.235305             5.48015           0.0851363
15.1456            0.234298             5.48426           0.0842852
15.1199            0.233123             5.49368           0.0838853
15.1076            0.230904             5.49707           0.0830376
15.0663            0.232111             5.51496           0.0840659
15.0608            0.229695             5.51091           0.0832654
15.0357            0.228643             5.51828           0.0827133
15.0405              0.2263             5.51176           0.0821069
15.0353            0.224013             5.50493           0.0815422
15.027            0.221872             5.50053           0.0808257
15.0224            0.219667             5.49824           0.0800379
15.0164            0.217543             5.51027           0.0801418
