#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.42388    -3.42388           0
           2    -3.42426    -3.42407 0.000135031
           3    -3.42264     -3.4236 0.000398442
           4    -3.42479    -3.42389 0.000395539
           5    -3.42293     -3.4237 0.000360653
           6    -3.42392    -3.42374 0.000302426
           7    -3.42351     -3.4237 0.000261024
           8    -3.42297    -3.42361 0.000243859
           9     -3.4234    -3.42359  0.00021793
          10    -3.42343    -3.42357 0.000196753
