#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.931937    0.931937           0
           2    0.899025    0.915481   0.0116361
           3    0.859443    0.896802    0.017111
           4    0.915298    0.901426   0.0134436
           5    0.940998     0.90934   0.0128755
           6    0.917263    0.910661   0.0107971
           7    0.862199    0.903738   0.0112575
           8    0.906169    0.904042  0.00985439
           9    0.925882    0.906468  0.00905331
          10     0.88994    0.904815  0.00829748
          11    0.862745    0.900991  0.00837838
          12    0.875849    0.898896  0.00793782
          13    0.819222    0.892767      0.0094
          14    0.885278    0.892232  0.00874378
          15    0.831005     0.88815  0.00906367
          16    0.938683    0.891309  0.00903071
          17     0.90009    0.891825  0.00851425
          18    0.901709    0.892374  0.00805893
          19    0.916061    0.893621   0.0077306
          20    0.896643    0.893772  0.00734554
