#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.246419    0.246419           0
           2    0.248309    0.247364 0.000667961
           3    0.176869    0.223866   0.0191914
           4    0.216087    0.221921   0.0144918
           5    0.218155    0.221168    0.011613
           6    0.195301    0.216857   0.0104471
           7    0.208921    0.215723  0.00901594
           8    0.191777     0.21273  0.00837109
           9    0.178839    0.208964  0.00824457
          10    0.193768    0.207444  0.00755885
          11    0.200156    0.206782  0.00690066
          12    0.263358    0.211497  0.00777106
          13    0.187611    0.209659   0.0073873
          14    0.181519    0.207649  0.00712784
          15    0.163656    0.204716  0.00723092
          16    0.221865    0.205788  0.00685796
          17    0.168037    0.203568  0.00680459
          18    0.253049    0.206316  0.00695971
          19    0.177198    0.204784  0.00676004
          20    0.179622    0.203526  0.00653806
