#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     72.8497     72.8497           0
           2     72.7026     72.7762   0.0520148
           3     82.1902     75.9142     2.56241
           4     76.6262     76.0922     1.92798
           5     77.1795     76.3096      1.5546
           6     78.7964     76.7241     1.34962
           7     78.1963     76.9344     1.17309
           8      79.574     77.2644     1.07185
           9     81.1724     77.6986     1.03699
          10     79.2185     77.8506    0.944362
          11     79.5185     78.0022    0.870599
          12     70.3985     77.3686     1.00246
          13     79.9382     77.5662    0.944637
          14     81.0151     77.8126    0.908717
          15     83.7019     78.2052    0.929091
          16     76.0633     78.0713    0.880614
          17     83.2549     78.3762    0.880021
          18      71.924     78.0178    0.901184
          19      81.638     78.2083    0.873664
          20     82.2779     78.4118    0.853347
