# BLOCK:     DISTANCE:     ACTUAL_AVE_GOFR:
           1    0.064633           0
           1    0.129266           0
           1    0.193899           0
           1    0.258532           0
           1    0.323165           0
           1    0.387798           0
           1    0.452431           0
           1    0.517064           0
           1    0.581697           0
           1     0.64633           0
           1    0.710963           0
           1    0.775596           0
           1     0.84023           0
           1    0.904863  0.00137697
           1    0.969496    0.151128
           1     1.03413      1.0503
           1     1.09876     2.01738
           1     1.16339     2.26374
           1     1.22803     2.09099
           1     1.29266     1.81968
           1     1.35729     1.59836
           1     1.42193     1.44669
           1     1.48656     1.33393
           1     1.55119     1.25312
           1     1.61583     1.17474
           1     1.68046     1.14252
           1     1.74509     1.10544
           1     1.80973     1.08892
           1     1.87436     1.07981
           1     1.93899     1.05911
           1     2.00362     1.05337
           1     2.06826     1.06335
           1     2.13289     1.05133
           1     2.19752     1.04725
           1     2.26216     1.04599
           1     2.32679     1.04282
           1     2.39142     1.03474
           1     2.45606     1.04067
           1     2.52069     1.03195
           1     2.58532     1.01382
           1     2.64995     1.01882
           1     2.71459     1.01091
           1     2.77922     1.00991
           1     2.84385     1.00748
           1     2.90849     1.00828
           1     2.97312    0.997386
           1     3.03775    0.999683
           1     3.10239    0.999066
           1     3.16702     1.00126
           1     3.23165     1.00214
           1     3.29629    0.996747
           1     3.36092    0.998946
           1     3.42555    0.997828
           1     3.49018    0.994901
           1     3.55482    0.992478
           1     3.61945    0.988073
           1     3.68408    0.996625
           1     3.74872    0.991504
           1     3.81335    0.988926
           1     3.87798    0.994102
           1     3.94262     0.98885
           1     4.00725    0.991679
           1     4.07188    0.990257
           1     4.13651    0.991501
           1     4.20115    0.987103
           1     4.26578    0.988582
           1     4.33041    0.983297
           1     4.39505    0.991796
           1     4.45968    0.985202
           1     4.52431    0.989342
           1     4.58895    0.990024
           1     4.65358    0.986488
           1     4.71821    0.990857
           1     4.78285    0.985226
           1     4.84748    0.987949
           1     4.91211    0.988573
           1     4.97674    0.986696
           1     5.04138    0.985631
           1     5.10601    0.986962
           1     5.17064    0.986904
           1     5.23528    0.984062
           1     5.29991    0.987901
           1     5.36454    0.985994
           1     5.42918    0.987864
           1     5.49381    0.985518
           1     5.55844    0.984442
           1     5.62307    0.983927
           1     5.68771    0.984219
           1     5.75234     0.98327
           1     5.81697    0.983664
           1     5.88161    0.986054
           1     5.94624     0.98657
           1     6.01087    0.983322
           1     6.07551    0.985727
           1     6.14014    0.984284
           1     6.20477    0.985263
           1      6.2694    0.985537
           1     6.33404    0.986897
           1     6.39867    0.984198
           1      6.4633    0.986236
           2    0.064633           0
           2    0.129266           0
           2    0.193899           0
           2    0.258532           0
           2    0.323165           0
           2    0.387798           0
           2    0.452431           0
           2    0.517064           0
           2    0.581697           0
           2     0.64633           0
           2    0.710963           0
           2    0.775596           0
           2     0.84023           0
           2    0.904863 0.000538814
           2    0.969496    0.144537
           2     1.03413     1.06692
           2     1.09876     2.03045
           2     1.16339     2.26374
           2     1.22803     2.07173
           2     1.29266     1.81672
           2     1.35729     1.61273
           2     1.42193     1.44322
           2     1.48656     1.33055
           2     1.55119     1.24535
           2     1.61583     1.18896
           2     1.68046     1.13411
           2     1.74509     1.11817
           2     1.80973     1.09229
           2     1.87436     1.06556
           2     1.93899     1.05896
           2     2.00362     1.05284
           2     2.06826      1.0468
           2     2.13289     1.04902
           2     2.19752     1.04882
           2     2.26216       1.047
           2     2.32679     1.03318
           2     2.39142     1.03068
           2     2.45606      1.0299
           2     2.52069     1.02564
           2     2.58532     1.01842
           2     2.64995     1.01698
           2     2.71459      1.0118
           2     2.77922     1.01725
           2     2.84385     1.00532
           2     2.90849     1.00423
           2     2.97312     1.00279
           2     3.03775     1.00014
           2     3.10239    0.996395
           2     3.16702    0.997394
           2     3.23165    0.994194
           2     3.29629    0.994619
           2     3.36092    0.994538
           2     3.42555    0.993685
           2     3.49018    0.989264
           2     3.55482    0.991949
           2     3.61945    0.990769
           2     3.68408    0.990036
           2     3.74872    0.991032
           2     3.81335    0.987525
           2     3.87798    0.990303
           2     3.94262    0.987976
           2     4.00725    0.984311
           2     4.07188    0.989986
           2     4.13651    0.987576
           2     4.20115    0.990609
           2     4.26578    0.993055
           2     4.33041     0.98775
           2     4.39505    0.987153
           2     4.45968    0.988991
           2     4.52431     0.98858
           2     4.58895    0.988163
           2     4.65358    0.987069
           2     4.71821    0.989299
           2     4.78285    0.988255
           2     4.84748    0.987506
           2     4.91211    0.990305
           2     4.97674    0.988625
           2     5.04138    0.985518
           2     5.10601    0.989772
           2     5.17064    0.988985
           2     5.23528    0.984294
           2     5.29991    0.986806
           2     5.36454    0.985788
           2     5.42918    0.985707
           2     5.49381    0.986604
           2     5.55844    0.986608
           2     5.62307    0.985607
           2     5.68771    0.987035
           2     5.75234    0.988627
           2     5.81697    0.988161
           2     5.88161    0.987672
           2     5.94624    0.986245
           2     6.01087    0.986117
           2     6.07551    0.984934
           2     6.14014    0.985838
           2     6.20477    0.986386
           2      6.2694       0.986
           2     6.33404    0.986224
           2     6.39867    0.987212
           2      6.4633    0.987686
           3    0.064633           0
           3    0.129266           0
           3    0.193899           0
           3    0.258532           0
           3    0.323165           0
           3    0.387798           0
           3    0.452431           0
           3    0.517064           0
           3    0.581697           0
           3     0.64633           0
           3    0.710963           0
           3    0.775596           0
           3     0.84023           0
           3    0.904863   0.0011375
           3    0.969496    0.143344
           3     1.03413     1.05502
           3     1.09876     2.04516
           3     1.16339     2.28672
           3     1.22803     2.09434
           3     1.29266     1.84884
           3     1.35729     1.60135
           3     1.42193     1.46051
