# DISTANCE:     AVE_GOFR:        ERROR:
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023           0           0
    0.904863  0.00088605 0.000117866
    0.969496    0.148684  0.00104277
     1.03413     1.06186  0.00341426
     1.09876     2.03169  0.00413374
     1.16339     2.27272  0.00607873
     1.22803     2.09075  0.00275207
     1.29266     1.82952  0.00481796
     1.35729     1.61547  0.00347466
     1.42193     1.45546  0.00264775
     1.48656     1.33465  0.00212324
     1.55119     1.24862  0.00175802
     1.61583     1.18432  0.00163923
     1.68046     1.14241  0.00143557
     1.74509     1.11264  0.00165449
     1.80973     1.08927  0.00153802
     1.87436     1.07465  0.00151938
     1.93899      1.0639  0.00104688
     2.00362     1.05832  0.00185411
     2.06826     1.05792  0.00191976
     2.13289     1.05381  0.00125428
     2.19752     1.05151  0.00118849
     2.26216     1.04774  0.00115192
     2.32679     1.04043  0.00129492
     2.39142     1.03742   0.0016003
     2.45606      1.0311  0.00160578
     2.52069      1.0259  0.00173887
     2.58532     1.02088   0.0011606
     2.64995     1.01753  0.00150173
     2.71459     1.01398 0.000929038
     2.77922     1.01035  0.00121369
     2.84385     1.00639 0.000661541
     2.90849     1.00515  0.00113968
     2.97312     1.00153  0.00109793
     3.03775     1.00046 0.000659453
     3.10239    0.999253  0.00089993
     3.16702    0.998402 0.000672194
     3.23165    0.997817  0.00108761
     3.29629    0.997083 0.000734576
     3.36092    0.995014  0.00122245
     3.42555    0.994231 0.000732097
     3.49018    0.992273 0.000834042
     3.55482    0.992598 0.000314077
     3.61945    0.992834  0.00101021
     3.68408     0.99146 0.000999103
     3.74872    0.991222 0.000663141
     3.81335    0.988924  0.00071905
     3.87798    0.989913  0.00085477
     3.94262    0.990437 0.000802087
     4.00725    0.988743 0.000744617
     4.07188    0.990654 0.000535672
     4.13651    0.989511 0.000726664
     4.20115    0.988668 0.000511592
     4.26578    0.988345 0.000956084
     4.33041    0.986716 0.000694613
     4.39505    0.987412 0.000970602
     4.45968    0.987012 0.000723579
     4.52431    0.987311  0.00061899
     4.58895    0.986826 0.000491767
     4.65358    0.986815 0.000426397
     4.71821    0.986958  0.00061851
     4.78285    0.986895  0.00043304
     4.84748    0.986163 0.000576286
     4.91211    0.987553 0.000455781
     4.97674    0.986415 0.000690182
     5.04138    0.986227 0.000562373
     5.10601    0.986369 0.000609993
     5.17064    0.986766 0.000485757
     5.23528    0.985635 0.000656054
     5.29991    0.987469 0.000583957
     5.36454    0.986616 0.000344639
     5.42918    0.986662  0.00059675
     5.49381    0.986344 0.000292722
     5.55844    0.985837 0.000673388
     5.62307    0.986629 0.000599154
     5.68771    0.985541 0.000680605
     5.75234    0.986042  0.00054512
     5.81697    0.986047 0.000570716
     5.88161    0.986005 0.000352004
     5.94624    0.986148 0.000480639
     6.01087    0.986344 0.000543293
     6.07551    0.986017 0.000414481
     6.14014    0.985691 0.000456185
     6.20477    0.985393 0.000467477
      6.2694    0.985556 0.000214278
     6.33404    0.986154 0.000287866
     6.39867    0.986329 0.000332159
      6.4633    0.985683 0.000531005
