#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78281     1.78281           0
           2     1.76639      1.7746  0.00580611
           3     1.83308     1.79409   0.0163798
           4     1.82042     1.80067   0.0135433
           5     1.81837     1.80421   0.0112877
           6     1.77016     1.79854   0.0107392
           7     1.74454     1.79082   0.0116508
           8      1.7435     1.78491   0.0115995
           9     1.77674       1.784   0.0103461
          10     1.83126     1.78873   0.0103346
