#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.412358   -0.412358           0
           2   -0.412639   -0.412498 9.93673e-05
           3   -0.414721   -0.413239  0.00060844
           4   -0.416512   -0.414057 0.000842764
           5   -0.413506   -0.413947 0.000681374
           6   -0.414731   -0.414078 0.000580214
           7   -0.414563   -0.414147 0.000501447
           8   -0.414085   -0.414139 0.000438827
           9   -0.413902   -0.414113 0.000390859
          10   -0.414353   -0.414137 0.000352508
