#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0493871   0.0493871           0
           2   0.0493813   0.0493842 2.03521e-06
           3   0.0492839   0.0493508 2.73267e-05
           4   0.0493846   0.0493592  2.1763e-05
           5   0.0493997   0.0493673 1.88574e-05
           6    0.049244   0.0493468 2.44751e-05
           7   0.0492891   0.0493385 2.23217e-05
           8   0.0492598   0.0493287 2.15907e-05
           9    0.049327   0.0493285 1.91926e-05
          10    0.049311   0.0493268 1.73529e-05
