#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.18854     1.18854           0
           2     1.17759     1.18307  0.00387074
           3     1.22205     1.19606   0.0109199
           4     1.21362     1.20045  0.00902888
           5     1.21225     1.20281  0.00752514
           6      1.1801     1.19902  0.00715945
           7     1.16302     1.19388  0.00776717
           8     1.16233     1.18994  0.00773301
           9     1.18449     1.18933  0.00689742
          10     1.22084     1.19248  0.00688973
