Blocco:    Energia:     Errore:
0           -0.442584                   0
1           -0.431836           0.0107485
2           -0.446273           0.0157144
3           -0.449583           0.0115943
4            -0.44638          0.00953494
5           -0.445367          0.00785087
6           -0.440397          0.00829019
7            -0.43653          0.00815441
8           -0.441881          0.00896398
9            -0.44061          0.00811774
10           -0.442813          0.00766589
11           -0.441165          0.00718942
12           -0.440625          0.00663527
13            -0.44158          0.00621675
14           -0.439334          0.00620779
15           -0.440092          0.00585605
16           -0.442222          0.00589903
17           -0.441727          0.00558367
18           -0.441983          0.00528782
19           -0.443711           0.0053059
20             -0.4439          0.00505044
21           -0.443359          0.00484568
22           -0.441252          0.00508687
23           -0.441848          0.00490652
24           -0.441866          0.00470621
25           -0.442232          0.00453638
26           -0.443153          0.00446119
27            -0.44319          0.00429908
28           -0.442913          0.00415745
29           -0.442826          0.00401741
30           -0.441962          0.00398069
31           -0.443707           0.0042312
32           -0.443226          0.00412909
33           -0.443201          0.00400588
34           -0.443421          0.00389592
35           -0.443564          0.00378886
36            -0.44277          0.00376955
37           -0.443151          0.00368872
38           -0.442817           0.0036084
39           -0.442911          0.00351829
40           -0.443188          0.00344259
41           -0.443559          0.00338009
42           -0.442819          0.00338259
43             -0.4423          0.00334521
44           -0.441888          0.00329596
45           -0.441314          0.00327417
46           -0.441006          0.00321852
47           -0.441252          0.00316038
48           -0.441376          0.00309768
49           -0.441819           0.0030673
50           -0.442066          0.00301668
51           -0.442309          0.00296802
52           -0.442328          0.00291154
53           -0.443135          0.00296891
54           -0.443405          0.00292683
55           -0.443436          0.00287426
56           -0.443857          0.00285457
57           -0.443384          0.00284445
58           -0.443389          0.00279582
59           -0.443754          0.00277308
60           -0.444185          0.00276101
61           -0.444004          0.00272212
62           -0.443613          0.00270695
63           -0.443525          0.00266578
64           -0.443738          0.00263307
65           -0.443882          0.00259687
66           -0.443775          0.00256006
67           -0.444597          0.00265274
68           -0.444078            0.002665
69            -0.44403          0.00262709
70            -0.44377          0.00260283
71           -0.443236          0.00262145
72            -0.44351          0.00259977
73           -0.443674          0.00256964
74           -0.443341          0.00255693
75            -0.44334          0.00252306
76           -0.443185          0.00249485
77           -0.443042          0.00246682
78           -0.443373          0.00245774
79           -0.443383          0.00242684
80           -0.443342          0.00239705
81           -0.443357          0.00236768
82           -0.443402          0.00233941
83            -0.44322          0.00231853
84           -0.443373          0.00229619
85           -0.443056           0.0022914
86           -0.442135          0.00244513
87            -0.44223          0.00241906
88           -0.442334          0.00239398
89           -0.442166          0.00237318
90           -0.441624          0.00240861
91           -0.441885          0.00239647
92           -0.441673          0.00238002
93           -0.441591          0.00235599
94           -0.441468          0.00233428
95            -0.44144          0.00231001
96           -0.441991          0.00235148
97           -0.442316          0.00234997
98           -0.442297          0.00232619
99           -0.442147          0.00230767
