Città:          x:                    y: 
0              0.717473              0.696586
10              0.999728             0.0233069
25              0.972776             -0.231747
20              0.957961              0.286897
9             0.0234708              0.999725
1             -0.116299              0.993214
30             -0.386031              0.922486
24             -0.611508              0.791238
11             -0.759881              0.650062
12             -0.920179              0.391497
21                    -1            0.00071725
16             -0.996889            -0.0788227
8             -0.980731             -0.195364
18              -0.94417             -0.329458
19             -0.877471              -0.47963
26             -0.818808             -0.574067
4             0.0151204             -0.999886
28             0.0999858             -0.994989
5              0.707482             -0.706731
17              0.777962             -0.628312
29              0.716226             -0.697869
31              0.486125             -0.873889
2             0.0735998             -0.997288
3             -0.360978             -0.932575
33               -0.8568              -0.51565
15             -0.928795             -0.370595
22             -0.958002              -0.28676
7             -0.984107             -0.177579
32              -0.99964            -0.0268283
27             -0.992356              0.123406
23             -0.854214              0.519922
13             -0.723901              0.689903
6             -0.587196              0.809445
14             -0.240584              0.970628
0              0.717473              0.696586
