Città:          x:                    y: 
0              0.122649              0.268552
19              0.229312               0.19946
29              0.277408             0.0281093
28              0.107915             0.0214709
17             0.0771846              0.165644
5            0.00370975              0.387371
26             0.0426932              0.480002
10             0.0463119              0.499886
22             0.0663679              0.491882
24              0.191665              0.368581
21              0.308003              0.504254
6              0.435979              0.378826
11              0.546289              0.412981
13              0.597318              0.480309
9              0.553433              0.579615
16               0.50427              0.586225
3              0.349884              0.528413
7              0.288669              0.560423
31              0.055446              0.823375
30             0.0234917              0.915394
15              0.313077              0.830795
12              0.354718              0.962778
8              0.512558              0.891873
20              0.579412              0.711107
1              0.761724              0.691222
2              0.752407              0.875085
14               0.76594              0.877066
18              0.850758              0.910443
23              0.921714              0.682033
33              0.846947               0.39305
27              0.880774              0.124961
25              0.921307             0.0228116
32              0.689461              0.135937
4              0.531294              0.246264
0              0.122649              0.268552
